Species,Source,FMAXE,D
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",68.8140312,7.537773398
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",69.26699425,7.788097448
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",69.79672397,7.826180319
Hipposideros armiger,"Chakravarty, et al. 2020",66.71689197,7.720455104
Hipposideros armiger,"Chakravarty, et al. 2020",68.17701707,7.582866848
